DataSupplier,UniqueSeafoodSpecies,CommonSpeciesName,SACN_Desc,CFValue,ISSCAAP_Desc,ISSCAAP_Code
NDNS,FISH PIE WITH WHITE FISH POTATOES AND SAUCE,Fish dish,Other,1,Product,NA
NDNS,"Fish pie, toddler meal (e.g. Little Dish, Annabel Karmel)",Fish dish,Other,1,Product,NA
NDNS,Fish sandwich paste (e.g. salmon),Fish dish,Oily,1,Product,NA
NDNS,"Fish shapes, white fish in breadcrumbs grilled",Fish dish,Lean,1,Product,NA
NDNS,"FISH, WHITE, IN CHEESE AND SPINACH SAUCE, READY MEAL EG. SAINSBURY'S PLAICE FLORENTINE",Fish dish,Lean,1,Product,NA
NDNS,Fish/seafood chowder,Fish dish,Other,1,Product,NA
NDNS,FISHCAKE BATTER FRY COMM OIL,Fish dish,Lean,1,Product,NA
NDNS,FISHCAKES BATTER FRY BLENDED,Fish dish,Lean,1,Product,NA
NDNS,"Fishcakes coated in breadcrumb/batter, fried",Fish dish,Lean,1,Product,NA
NDNS,"Fishcakes coated in breadcrumb/batter, grilled or oven baked",Fish dish,Lean,1,Product,NA
NDNS,FISHCAKES COATED IN BREADCRUMBS GRILLED,Fish dish,Lean,1,Product,NA
NDNS,FISHCAKES FRIED BLENDED OIL,Fish dish,Lean,1,Product,NA
NDNS,FISHCAKES FROZEN,Fish dish,Lean,1,Product,NA
NDNS,"FISHCAKES, WHITE FISH, COATED IN BREADCRUMBS BAKED/GRILLED",Fish dish,Lean,1,Product,NA
NDNS,FISHERMAN'S PIE (WHITE FISH) RETAIL,Fish dish,Other,1,Product,NA
NDNS,FISHERMANS PIE REDUCED CALORIE AND FAT RETAIL,Fish dish,Other,1,Product,NA
NDNS,"Fisherman's pie, home made",Fish dish,Other,1,Product,NA
NDNS,"Fishermans pie/ocean pie, ready meal",Fish dish,Other,1,Product,NA
NDNS,KEDGEREE,Fish dish,Lean,1,Product,NA
NDNS,MCDONALDS FILET O FISH (FISH IN A BUN),Fish dish,Lean,1,Product,NA
NDNS,Mixed meat/seafood paella,Fish dish,Other,1,Product,NA
NDNS,"PAELLA WITH CHICKEN, PRAWN AND CHORIZO PURCHASED",Fish dish,Other,1,Product,NA
NDNS,ROE COD HARD BATTER FRY COMM,Fish dish,Oily,1,Product,NA
NDNS,Salmon/tuna pate or mousse,Fish dish,Other,1,Product,NA
NDNS,"SEAFOOD (MUSSELS, KING PRAWNS AND CALAMARI) IN TOMATO SAUCE",Fish dish,Other,1,Product,NA
NDNS,Seafood (mussels/prawns/calamari) in tomato based sauce,Fish dish,Other,1,Product,NA
NDNS,SEAFOOD COCKTAIL SANDWICH FILLER,Fish dish,Other,1,Product,NA
NDNS,SEAFOOD PAELLA (NO RICE),Fish dish,Other,1,Product,NA
NDNS,SEAFOOD PAELLA READY MEAL EG. M&S,Fish dish,Other,1,Product,NA
NDNS,Seafood pasta,Fish dish,Other,1,Product,NA
NDNS,SEAFOOD TAGLIATELLE,Fish dish,Other,1,Product,NA
HMRC,Surimi,Fish dish,Lean,1,Product,NA
NDNS,TARAMASALATA,Fish dish,Lean,1,Product,NA
NDNS,"TEMPURA (PRAWNS, SOLE, COLEY AND HADDOCK IN BATTER) FROM A RESTAURANT.",Fish dish,Other,1,Product,NA
NDNS,Tempura battered white fish and prawns,Fish dish,Other,1,Product,NA
NDNS,VESTA PAELLA AS SERVED,Fish dish,Other,1,Product,NA
NDNS,White fish in a cheese sauce (with or without vegetables),Fish dish,Lean,1,Product,NA
NDNS,WHITE FISH IN CHEESE SAUCE,Fish dish,Lean,1,Product,NA
HMRC,Fish oil,Fish oil,Other non-food use,1,Remove,NA
HMRC,Fishmeal,Fishmeal,Other non-food use,1,Remove,NA
HMRC,Other non-food use,Other non-food use,Other non-food use,1,Remove,NA
HMRC,Seaweed and other algae,Seaweed and other algae,Seaweed and other algae,1,Remove,NA
