DataSupplier,DataSet,Commodity,Species,SpeciesType,SACN,Volume,Units,CalendarYear,TemporalResolution,Flag,FlagDescription
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,2151423000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Anchovy,Marine,Oily,112951000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,1927772000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Anchovy,Marine,Oily,364090000,Grams,2016,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,1718907000,Grams,2016,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Anchovy,Marine,Oily,3855065000,Grams,2017,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,1530810000,Grams,2017,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Anchovy,Marine,Oily,7900838000,Grams,2018,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,1669971000,Grams,2018,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Anchovy,Marine,Oily,1397199000,Grams,2019,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,1755537000,Grams,2019,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Anchovy,Marine,Oily,229190000,Grams,2020,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Anchovy,Marine,Oily,1875770000,Grams,2020,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,50091000,Grams,2010,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,9632972000,Grams,2010,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,110504000,Grams,2011,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,9647058000,Grams,2011,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,198868000,Grams,2012,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,11121526000,Grams,2012,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,232518000,Grams,2013,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,13551624000,Grams,2013,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,205817000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,14107443000,Grams,2014,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,277954000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,13981581000,Grams,2015,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Exports,Basa,Freshwater,Lean,323756000,Grams,2016,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
HMRC,HMRC Overseas Trade data table - UK Trade Info,Imports,Basa,Freshwater,Lean,14938238000,Grams,2016,Annual,ConV1,"ConV1: Conversion factors were applied to all or part of the data (i.e., whole fish to edible portion)"
