Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Dogfish,2019,Marine,Lean,226947000,135394000,NA,1011026100,NA,66796800,17.9,1.37,0,9.1,2,0.3,0.3,6,20,42
Dogfish,2011,Marine,Lean,713093000,240380000,NA,254485100,NA,63285100,17.9,1.37,0,9.1,2,0.3,0.3,6,20,42
Dogfish,2018,Marine,Lean,242703000,62882000,NA,1051657500,NA,66435600,17.9,1.37,0,9.1,2,0.3,0.3,6,20,42
Dogfish,2020,Marine,Lean,240817000,126996000,NA,932126400,NA,67081000,17.9,1.37,0,9.1,2,0.3,0.3,6,20,42
Dogfish,2013,Marine,Lean,458520000,141477000,NA,344374150,NA,64105700,17.9,1.37,0,9.1,2,0.3,0.3,6,20,42
Eel,2018,Diadromous,Oily,235309000,91685000,33039504,NA,NA,66435600,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2015,Diadromous,Oily,207312000,105613000,1460072500,NA,NA,65110000,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2013,Diadromous,Oily,192038000,77903000,NA,NA,NA,64105700,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2017,Diadromous,Oily,239859000,109127000,NA,NA,NA,66040200,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2012,Diadromous,Oily,190916000,65085000,NA,NA,NA,63705000,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2009,Diadromous,Oily,265200000,93943000,NA,NA,NA,62260500,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2019,Diadromous,Oily,265469000,69711000,635149645,NA,NA,66796800,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2016,Diadromous,Oily,235991000,102842000,1532533930,NA,NA,65648100,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2014,Diadromous,Oily,188567000,127612000,NA,NA,NA,64596800,17.3,5.69,600,30,3,2.6,0.4,43,57,43
Eel,2020,Diadromous,Oily,126192000,62261000,NA,NA,NA,67081000,17.3,5.69,600,30,3,2.6,0.4,43,57,43
